time_ms,t1_c,t2_c,pwm1,pwm2
35,25.28,25.54,0,0
2004,25.08,25.41,0,225
6004,24.53,25.03,0,225
8004,24.62,24.99,0,225
10004,24.62,24.97,0,225
12004,24.73,24.84,0,225
14004,23.87,25.03,0,225
16004,24.44,24.84,0,225
18004,24.64,24.97,0,225
20004,24.40,25.01,0,225
22004,24.35,25.10,0,225
24004,24.24,25.19,0,225
26004,24.31,25.21,0,225
28004,24.37,25.41,0,225
30004,24.20,25.45,0,225
32004,24.33,25.61,0,225
34004,23.89,25.61,0,225
36004,24.22,25.85,0,225
38004,24.09,25.87,0,225
40004,23.65,26.14,0,225
42004,23.33,26.23,0,225
44004,24.29,26.38,0,225
46004,24.37,26.51,0,0
48004,24.40,26.69,0,0
50004,24.46,26.94,0,0
52004,24.51,27.09,0,0
54004,24.44,27.16,0,0
56004,24.46,27.41,0,0
58004,24.44,27.43,0,0
60004,24.48,27.63,0,0
62004,24.59,27.70,0,0
64004,24.53,27.81,0,0
66004,24.59,27.81,0,0
68004,24.66,27.77,0,0
70004,24.75,27.70,0,225
72004,24.62,27.97,0,225
74004,23.46,28.04,0,225
76004,24.13,27.88,0,225
78004,23.85,27.99,0,225
80004,24.81,27.92,0,225
82004,23.83,28.01,0,225
84004,24.59,28.06,0,225
86004,24.81,28.01,0,225
88004,23.85,28.10,0,225
90004,23.70,28.17,0,225
92004,25.05,28.17,0,225
94004,25.54,28.22,0,225
96004,25.72,28.42,0,225
98004,25.05,28.49,0,225
100004,25.12,28.51,0,225
102004,25.14,28.67,0,225
104004,25.34,28.67,0,225
106004,24.44,28.78,0,225
108004,25.56,28.83,0,225
110004,25.19,29.01,0,225
112004,25.36,29.08,0,225
114004,25.43,29.05,0,225
116004,24.97,29.42,0,225
118004,24.37,29.56,0,225
120004,25.50,29.63,0,0
122004,25.52,29.72,0,0
124004,25.52,29.81,0,0
126004,25.58,29.88,0,0
128004,25.58,29.95,0,0
130004,25.61,30.20,0,0
132004,25.69,30.22,0,0
134004,25.80,30.29,0,0
136004,25.76,30.36,0,0
138004,25.89,30.41,0,0
140004,25.78,30.41,0,0
142004,25.89,30.43,0,0
144004,25.87,30.41,0,0
146004,25.85,30.50,0,0
148004,26.00,30.52,0,0
150004,26.07,30.43,0,0
152004,26.16,30.34,0,0
154004,26.23,30.32,0,0
156004,26.23,30.22,0,0
158004,26.27,30.18,0,225
160004,26.38,30.18,0,225
162004,25.67,30.11,0,225
164004,26.11,30.13,0,225
166004,26.27,29.95,0,225
168004,26.16,30.04,0,225
170004,27.14,29.90,0,225
172004,26.43,29.90,0,0
174004,26.43,29.99,0,0
176004,26.36,29.97,0,0
178004,26.54,29.90,0,0
180004,26.49,29.99,0,0
182004,26.43,30.04,0,0
184004,26.51,29.99,0,0
186004,26.56,29.99,0,0
188004,26.47,29.99,0,0
190004,26.54,29.97,0,0
192004,26.63,30.06,0,0
194004,26.51,30.08,0,0
196004,26.67,30.04,0,0
198004,26.60,30.08,0,0
200004,26.63,29.90,0,0
202004,26.76,29.83,0,225
204004,26.87,29.85,0,225
206004,25.54,29.85,0,225
208004,26.67,29.85,0,225
210004,26.16,29.76,0,225
212004,26.76,29.67,0,225
214004,26.67,29.63,0,225
216004,26.16,29.60,0,225
218004,26.98,29.79,0,225
220004,26.69,29.63,0,225
222004,26.78,29.65,0,225
224004,25.94,29.74,0,225
226004,25.85,29.74,0,225
228004,25.83,29.81,0,225
230004,26.89,29.79,0,225
232004,26.80,29.97,0,225
234004,26.89,30.08,0,225
236004,26.89,30.08,0,225
238004,25.94,30.22,0,225
240004,26.91,30.36,0,225
242004,27.32,30.41,0,225
244004,26.87,30.50,0,225
246004,26.05,30.69,0,225
248004,26.31,30.87,0,225
250004,27.03,30.92,0,225
252004,27.77,31.03,0,225
254004,26.03,31.15,0,225
256004,27.00,31.27,0,225
258004,25.92,31.36,0,225
260004,26.16,31.38,0,225
262004,25.92,31.41,0,225
264004,27.09,31.48,0,0
266004,27.16,31.62,0,0
268004,27.16,31.69,0,0
270004,27.21,31.85,0,0
272004,27.07,32.04,0,0
274004,27.21,31.92,0,0
276004,27.21,31.99,0,0
278004,27.23,32.14,0,0
280004,27.14,32.09,0,0
282004,27.21,32.18,0,0
284004,27.29,32.09,0,0
