time_ms,t1_c,t2_c,pwm1,pwm2
35,24.57,24.79,0,0
2004,24.59,24.84,0,225
6004,24.53,24.88,0,225
8004,24.18,24.84,0,225
10004,24.53,24.84,0,225
12004,24.59,24.77,0,225
14004,26.38,24.75,0,225
16004,26.29,24.79,0,225
18004,25.12,24.90,0,225
20004,24.55,24.86,0,225
22004,24.55,25.01,0,225
24004,24.59,25.19,0,225
26004,24.62,25.28,0,225
28004,24.64,25.39,0,225
30004,23.85,25.47,0,225
32004,23.68,25.89,0,225
34004,23.76,25.76,0,225
36004,26.16,26.09,0,225
38004,24.68,26.27,0,225
40004,24.59,26.47,0,225
42004,23.81,26.56,0,225
44004,24.53,26.83,0,225
46004,24.73,27.16,0,0
48004,24.86,27.32,0,0
50004,24.84,27.56,0,0
52004,24.68,27.86,0,0
54004,24.81,28.01,0,0
56004,24.90,28.51,0,0
58004,25.08,28.56,0,0
60004,24.97,28.71,0,0
62004,25.19,28.94,0,0
64004,25.25,29.03,0,0
66004,25.05,29.33,0,0
68004,25.30,29.40,0,0
70004,25.58,29.56,0,225
72004,24.68,29.74,0,225
74004,25.56,29.83,0,225
76004,24.95,29.85,0,225
78004,25.74,29.85,0,225
80004,25.47,29.99,0,225
82004,25.85,30.13,0,225
84004,25.94,30.22,0,225
86004,25.54,30.27,0,225
88004,25.23,30.34,0,225
90004,27.05,30.43,0,225
92004,26.25,30.57,0,225
94004,25.01,30.80,0,225
96004,26.40,30.96,0,225
98004,27.45,31.17,0,225
100004,26.43,31.27,0,225
102004,26.65,31.50,0,225
104004,26.83,31.66,0,225
106004,26.83,31.88,0,225
108004,26.83,31.99,0,225
110004,26.07,32.14,0,225
112004,27.03,32.49,0,225
114004,27.09,32.66,0,225
116004,26.58,32.85,0,225
118004,27.29,32.99,0,225
120004,27.32,33.23,0,0
122004,27.25,33.30,0,0
124004,27.38,33.49,0,0
126004,27.61,33.81,0,0
128004,27.77,34.00,0,0
130004,27.88,34.27,0,0
132004,27.81,34.39,0,0
134004,27.88,34.61,0,0
136004,28.15,34.61,0,0
138004,28.19,34.85,0,0
140004,28.37,34.85,0,0
142004,28.35,34.95,0,0
144004,28.58,35.27,0,0
146004,28.53,35.22,0,0
148004,28.85,35.32,0,0
150004,28.83,35.44,0,0
152004,28.83,35.22,0,0
154004,29.03,35.39,0,0
156004,29.31,35.52,0,0
158004,29.42,35.44,0,225
160004,29.05,35.49,0,225
162004,29.08,35.52,0,225
164004,29.15,35.59,0,225
166004,29.85,35.52,0,225
168004,29.24,35.52,0,225
170004,29.42,35.64,0,225
172004,30.13,35.72,0,0
174004,30.36,35.69,0,0
176004,30.32,35.89,0,0
178004,30.41,35.77,0,0
180004,30.32,35.92,0,0
182004,30.57,35.94,0,0
184004,30.89,36.02,0,0
186004,30.99,36.22,0,0
188004,30.66,36.14,0,0
190004,30.89,36.12,0,0
192004,31.03,36.29,0,0
194004,31.06,36.29,0,0
196004,31.29,36.24,0,0
198004,31.03,36.47,0,0
200004,31.45,36.24,0,0
202004,31.59,36.39,0,225
204004,31.59,36.42,0,225
206004,31.69,36.47,0,225
208004,31.15,36.47,0,225
210004,31.71,36.49,0,225
212004,31.74,36.49,0,225
214004,33.33,36.62,0,225
216004,31.99,36.77,0,225
218004,32.09,36.69,0,225
220004,32.16,36.64,0,225
222004,32.21,36.64,0,225
224004,32.51,36.62,0,225
226004,32.09,36.52,0,225
228004,32.63,36.67,0,225
230004,32.28,36.85,0,225
232004,32.75,37.00,0,225
234004,32.85,37.35,0,225
236004,32.97,37.46,0,225
238004,32.66,37.64,0,225
240004,32.61,37.84,0,225
242004,32.56,37.92,0,225
244004,32.70,38.10,0,225
246004,32.94,38.26,0,225
248004,32.49,38.33,0,225
250004,32.59,38.70,0,225
252004,32.54,38.91,0,225
254004,33.25,39.04,0,225
256004,33.35,39.30,0,225
258004,33.73,39.46,0,225
260004,33.57,39.62,0,225
262004,33.64,39.86,0,225
264004,33.83,40.10,0,0
266004,34.00,40.51,0,0
268004,34.12,40.59,0,0
270004,34.27,40.67,0,0
272004,34.51,40.97,0,0
274004,34.61,41.16,0,0
276004,34.49,41.30,0,0
278004,34.63,41.30,0,0
280004,34.73,41.68,0,0
282004,34.95,41.79,0,0
284004,34.93,41.57,0,0
286004,35.15,42.01,0,0
288004,35.17,42.10,0,0
290004,35.27,42.07,0,0
292004,35.39,42.35,0,0
294004,35.47,42.35,0,0
296004,35.62,42.41,0,0
298004,35.79,42.32,0,0
300004,35.72,42.49,0,0
302004,35.97,42.35,0,0
304004,36.02,42.29,0,0
306004,36.17,42.21,0,0
308004,35.89,42.04,0,0
310004,36.12,41.96,0,0
312004,36.04,41.99,0,0
314004,36.19,42.18,0,0
316004,36.17,42.21,0,0
318004,36.32,41.87,0,0
320004,36.32,41.85,0,0
322004,36.44,41.82,0,0
324004,36.44,41.63,0,0
324009,36.54,41.60,0,225
328004,36.69,41.71,0,225
330004,36.97,41.79,0,225
332004,37.10,41.68,0,225
334004,37.18,41.60,0,225
336004,37.10,41.68,0,225
338004,37.35,41.74,0,225
340004,37.41,41.57,0,225
342004,37.35,41.57,0,225
344004,37.46,41.63,0,225
346004,37.41,41.60,0,225
348004,37.48,41.52,0,225
350004,37.56,41.71,0,225
352004,37.61,41.57,0,225
354004,37.51,41.85,0,225
356004,36.92,42.10,0,225
358004,37.61,42.35,0,225
360004,37.58,42.46,0,225
362004,37.69,42.66,0,225
364004,37.79,42.80,0,225
366004,37.66,43.05,0,225
368004,37.95,43.08,0,225
370004,37.97,43.20,0,225
372004,38.02,43.45,0,225
374004,38.07,43.71,0,225
376004,38.13,44.12,0,225
378004,38.07,44.09,0,225
380004,38.07,44.44,0,225
380009,38.28,44.50,0,0
384004,38.33,44.88,0,0
386004,38.26,45.09,0,0
388004,38.36,45.09,0,0
390004,38.54,45.12,0,0
392004,38.44,45.36,0,0
394004,38.65,45.54,0,0
396004,38.80,45.57,0,0
398004,38.86,45.42,0,0
400004,38.65,45.96,0,0
402004,38.91,45.87,0,0
404004,39.04,45.63,0,0
406004,39.25,45.90,0,0
408004,39.30,45.72,0,0
410004,39.49,46.05,0,0
412004,39.30,45.84,0,0
414004,39.59,46.05,0,0
416004,39.89,46.20,0,0
418004,39.57,46.02,0,0
420004,39.99,45.99,0,0
422004,39.89,45.90,0,0
424004,39.97,46.02,0,0
426004,40.34,45.90,0,0
428004,40.13,45.75,0,225
430004,40.51,45.63,0,225
432004,40.05,45.66,0,225
434004,40.18,45.63,0,225
436004,40.21,45.66,0,225
438004,40.07,45.63,0,225
440004,40.21,45.69,0,225
442004,40.32,45.57,0,225
444004,40.51,45.36,0,225
446004,40.42,45.42,0,225
448004,39.94,45.48,0,225
450004,40.59,45.75,0,225
452004,40.53,45.69,0,225
454004,40.80,45.72,0,225
456004,40.78,45.78,0,225
458004,40.97,45.96,0,225
460004,40.99,45.87,0,225
462004,41.02,45.90,0,225
462009,40.99,45.93,0,0
466004,41.27,45.84,0,0
468004,41.32,46.11,0,225
470004,41.30,46.20,0,225
472004,41.43,46.32,0,225
474004,41.52,46.44,0,225
476004,41.54,46.51,0,225
478004,41.65,46.91,0,225
480004,41.74,47.09,0,225
480009,41.68,47.00,0,0
484004,41.79,47.22,0,0
486004,41.90,47.46,0,0
488004,41.74,47.37,0,0
490004,41.85,47.50,0,0
492004,41.96,47.84,0,0
494004,41.85,47.72,0,0
496004,42.21,47.81,0,0
498004,42.04,47.91,0,0
500004,42.13,47.87,0,0
502004,42.27,47.97,0,0
504004,42.55,48.10,0,0
506004,42.60,48.35,0,225
508004,42.57,48.38,0,225
510004,42.35,48.16,0,225
512004,42.27,48.22,0,225
514004,42.43,48.10,0,225
516004,42.52,47.91,0,225
518004,42.69,48.00,0,225
520004,42.63,48.25,0,225
522004,41.76,48.19,0,225
524004,42.80,48.03,0,225
526004,43.00,47.78,0,225
528004,43.11,47.91,0,225
530004,43.03,48.03,0,225
532004,43.17,48.22,0,225
534004,43.37,48.64,0,225
536004,43.40,48.74,0,225
538004,43.45,48.80,0,225
540004,43.68,49.06,0,225
542004,43.63,49.03,0,225
544004,43.86,49.35,0,225
546004,43.51,49.45,0,225
548004,43.63,49.55,0,225
550004,43.57,49.61,0,225
552004,43.68,49.78,0,225
554004,43.66,49.91,0,225
556004,43.80,49.91,0,225
558004,43.89,50.28,0,225
560004,44.03,50.45,0,0
562004,44.12,50.45,0,0
564004,44.64,50.72,0,0
566004,44.79,50.78,0,0
568004,44.53,50.92,0,0
570004,44.79,51.29,0,0
572004,44.85,51.09,0,0
574004,44.94,51.50,0,0
576004,44.79,51.71,0,0
578004,44.94,52.06,0,0
580004,44.91,51.92,0,0
582004,44.85,52.16,0,0
584004,45.06,52.44,0,0
586004,45.18,52.27,0,0
588004,45.21,52.16,0,0
590004,45.27,52.16,0,0
592004,45.15,52.23,0,0
594004,45.18,51.88,0,0
596004,45.09,51.85,0,0
598004,45.06,51.47,0,0
600004,45.18,51.50,0,0
602004,45.09,51.26,0,0
604004,45.27,51.43,0,0
606004,45.42,51.40,0,0
606009,45.15,51.36,0,225
610004,45.33,51.29,0,225
612004,45.48,51.23,0,225
614004,45.63,51.02,0,225
616004,45.66,50.78,0,225
618004,45.72,50.72,0,225
620004,46.05,50.85,0,225
622004,46.32,51.05,0,225
624004,46.38,50.88,0,225
626004,46.26,51.26,0,225
628004,46.23,51.19,0,225
630004,46.26,51.40,0,225
632004,46.32,51.60,0,225
634004,46.44,51.64,0,225
634009,46.54,51.64,0,0
638004,46.54,51.57,0,0
640004,46.91,51.43,0,0
642004,46.78,51.74,0,0
644004,46.78,51.81,0,0
646004,46.63,52.02,0,0
648004,46.84,52.02,0,0
650004,47.15,52.23,0,0
652004,47.46,52.51,0,0
654004,47.31,52.51,0,0
656004,47.28,52.51,0,0
658004,47.00,52.30,0,0
660004,46.69,52.37,0,0
662004,46.81,52.41,0,0
664004,46.91,52.20,0,0
666004,46.63,52.09,0,0
668004,46.91,52.09,0,0
670004,46.63,51.85,0,0
672004,46.47,51.50,0,0
674004,46.35,51.47,0,0
676004,46.69,51.43,0,0
678004,47.06,51.64,0,0
680004,47.00,51.40,0,0
682004,47.18,51.57,0,0
684004,47.09,51.67,0,0
686004,47.15,51.60,0,0
688004,47.34,51.47,0,0
690004,47.65,51.43,0,0
692004,47.59,51.26,0,0
692009,47.68,51.23,0,225
696004,47.22,50.88,0,225
698004,47.50,50.95,0,225
700004,47.65,50.92,0,225
702004,47.65,50.95,0,225
704004,47.43,51.02,0,225
706004,47.56,50.85,0,225
708004,47.53,50.72,0,225
710004,47.59,50.68,0,225
712004,47.59,50.72,0,225
714004,47.84,50.99,0,225
716004,47.91,51.05,0,225
718004,48.00,50.99,0,225
720004,46.72,51.16,0,225
722004,47.46,51.26,0,225
724004,47.50,51.16,0,225
726004,47.65,50.95,0,225
728004,47.87,50.92,0,225
730004,48.03,51.02,0,225
732004,48.06,51.43,0,225
734004,48.06,51.50,0,225
736004,47.56,51.92,0,225
738004,48.19,51.88,0,225
740004,48.32,52.23,0,225
742004,48.32,52.30,0,225
744004,48.48,52.55,0,225
744009,48.32,52.48,0,0
748004,48.67,53.26,0,0
750004,48.57,53.37,0,0
752004,48.57,53.84,0,0
754004,48.67,53.62,0,0
756004,48.67,53.88,0,0
758004,48.48,53.81,0,0
760004,48.67,54.21,0,0
762004,48.70,54.14,0,0
764004,48.61,54.36,0,0
766004,48.83,54.36,0,0
768004,48.90,54.36,0,0
770004,48.77,54.21,0,0
772004,49.22,54.43,0,0
774004,49.06,54.50,0,0
776004,48.83,54.21,0,0
778004,48.93,53.95,0,0
780004,49.39,53.77,0,0
782004,49.58,54.25,0,0
784004,49.39,53.99,0,0
786004,49.22,54.06,0,225
788004,49.48,54.02,0,225
790004,49.48,53.91,0,225
792004,49.58,53.91,0,225
794004,49.68,54.10,0,225
796004,49.55,53.81,0,225
798004,49.61,53.99,0,225
800004,49.95,53.88,0,225
802004,49.91,53.59,0,225
804004,49.95,53.70,0,225
806004,49.98,53.73,0,0
808004,49.78,53.73,0,0
810004,49.91,53.91,0,0
812004,49.88,54.28,0,0
814004,49.75,54.47,0,0
816004,49.81,54.84,0,0
818004,50.08,54.95,0,0
820004,50.35,54.62,0,0
822004,50.18,54.54,0,0
824004,49.98,54.36,0,0
826004,49.85,54.47,0,0
828004,50.08,54.43,0,0
830004,50.08,54.50,0,0
832004,49.98,54.36,0,0
834004,50.04,54.17,0,0
836004,50.08,54.14,0,0
838004,49.81,54.14,0,0
840004,50.01,54.06,0,0
842004,49.58,53.99,0,0
844004,49.81,53.99,0,0
846004,49.71,54.10,0,225
848004,49.58,53.95,0,225
850004,49.61,54.02,0,225
852004,49.65,53.81,0,225
854004,48.61,53.84,0,225
856004,49.55,53.77,0,225
858004,49.55,53.62,0,225
860004,49.48,53.55,0,225
862004,49.55,53.62,0,225
862009,49.75,53.51,0,0
866004,49.45,53.62,0,0
868004,49.35,53.59,0,0
870004,49.42,53.51,0,0
872004,49.68,53.70,0,0
874004,50.01,53.37,0,0
876004,49.98,53.55,0,0
878004,50.04,53.88,0,0
880004,49.75,54.10,0,0
882004,49.58,53.91,0,0
884004,49.52,54.02,0,0
886004,49.71,53.77,0,0
888004,49.71,53.62,0,0
890004,50.04,53.73,0,0
892004,50.04,53.73,0,0
894004,50.28,53.51,0,225
896004,50.35,53.62,0,225
896009,50.35,53.51,0,0
900004,50.65,53.19,0,0
900009,50.65,55.45,0,225
904004,50.85,53.70,0,225
906004,50.72,53.55,0,225
908004,50.51,53.62,0,225
908009,50.58,53.51,0,0
912004,50.75,53.99,0,0
914004,50.58,53.41,0,0
916004,50.68,53.26,0,0
918004,50.75,53.23,0,0
920004,50.55,53.19,0,0
922004,50.65,53.30,0,0
924004,50.58,53.33,0,0
926004,50.82,53.30,0,0
926009,50.65,53.41,0,225
930004,52.13,53.59,0,225
932004,50.99,53.59,0,225
934004,50.92,53.70,0,225
936004,50.85,53.59,0,225
938004,50.85,53.55,0,225
940004,50.65,53.59,0,225
942004,50.72,53.70,0,225
944004,50.72,53.66,0,225
946004,50.68,53.48,0,225
948004,50.55,53.44,0,225
950004,50.38,53.51,0,225
952004,50.45,53.44,0,225
954004,50.35,53.59,0,225
956004,50.45,53.62,0,225
958004,50.41,53.62,0,225
960004,50.35,53.66,0,225
962004,50.58,53.81,0,225
962009,50.61,53.73,0,0
966004,50.72,53.84,0,0
968004,50.58,54.17,0,0
